feature,RMSE_ols_ts30,RMSE_rf_ts30,RMSE_xgb_ts30,RMSE_mlp_ts30,RMSE_svr_ts30,RMSE_ols_ts45,RMSE_rf_ts45,RMSE_xgb_ts45,RMSE_mlp_ts45,RMSE_svr_ts45,RMSE_ols_ts60,RMSE_rf_ts60,RMSE_xgb_ts60,RMSE_mlp_ts60,RMSE_svr_ts60,RMSE_ols_ts75,RMSE_rf_ts75,RMSE_xgb_ts75,RMSE_mlp_ts75,RMSE_svr_ts75,RMSE_ols_ts90,RMSE_rf_ts90,RMSE_xgb_ts90,RMSE_mlp_ts90,RMSE_svr_ts90
BlkCnt,0.0536,0.0455,0.0519,0.0636,0.0435,0.0474,0.0448,0.0505,0.0629,0.0427,0.0455,0.0449,0.0503,0.0626,0.0427,0.0443,0.045,0.0502,0.0624,0.0422,0.0435,0.0447,0.0497,0.0623,0.042
BlkSizeMeanByte,0.0542,0.0456,0.0514,0.0575,0.0442,0.0475,0.0451,0.0498,0.0569,0.0438,0.0455,0.0449,0.0503,0.0567,0.0438,0.0444,0.0453,0.0503,0.0563,0.0434,0.0436,0.0448,0.0494,0.0562,0.0431
DiffMean,0.0635,0.0455,0.0511,0.0487,0.0445,0.0477,0.045,0.0496,0.0478,0.044,0.0456,0.0449,0.0498,0.0475,0.0442,0.0443,0.045,0.0499,0.0469,0.0439,0.0435,0.0447,0.0499,0.0467,0.0438
Expected_Inflation,0.0535,0.0454,0.0516,0.049,0.0446,0.0476,0.0449,0.05,0.048,0.044,0.0456,0.0449,0.0501,0.0478,0.0441,0.0443,0.0449,0.0503,0.0472,0.0438,0.0435,0.0449,0.0502,0.047,0.0436
FeeMeanUSD,0.0554,0.0457,0.0515,0.0683,0.0438,0.0485,0.0453,0.0509,0.0689,0.0436,0.0462,0.0454,0.0513,0.0683,0.0434,0.0449,0.0453,0.0509,0.0679,0.043,0.0439,0.0447,0.0502,0.0675,0.0427
HashRate,0.0535,0.0454,0.0515,0.0593,0.0441,0.0473,0.0449,0.0496,0.0586,0.0439,0.0453,0.0447,0.0498,0.0586,0.0441,0.0441,0.045,0.0499,0.0579,0.0438,0.0433,0.0446,0.049,0.0577,0.0436
OAS,0.0549,0.0457,0.0517,0.061,0.0423,0.0485,0.0453,0.0508,0.0613,0.0423,0.0461,0.0452,0.0509,0.0617,0.0423,0.0449,0.0453,0.0504,0.0616,0.0419,0.0441,0.0449,0.0499,0.0618,0.0418
PriceUSD,0.0523,0.0457,0.0516,0.0537,0.0447,0.0466,0.045,0.0499,0.0531,0.044,0.0449,0.0449,0.0505,0.0526,0.0442,0.0439,0.0451,0.0504,0.0524,0.0439,0.0432,0.0447,0.0501,0.052,0.0437
RevUSD,0.0535,0.0454,0.0511,0.0601,0.0442,0.0473,0.0449,0.05,0.0592,0.0439,0.0453,0.0447,0.0503,0.0591,0.0441,0.0441,0.0449,0.0502,0.0584,0.0435,0.0433,0.0445,0.0496,0.058,0.0433
Risk_Free,0.0545,0.0455,0.0512,0.0493,0.0446,0.0472,0.0449,0.0502,0.0483,0.044,0.0454,0.0447,0.0507,0.048,0.0441,0.0443,0.045,0.0504,0.0474,0.0438,0.0435,0.0448,0.0501,0.0471,0.0436
Ten_Year,0.0535,0.0454,0.0512,0.0494,0.0447,0.0473,0.0449,0.0501,0.0485,0.044,0.0454,0.0451,0.0504,0.0482,0.0442,0.0443,0.0452,0.0504,0.0477,0.0438,0.0435,0.0449,0.0497,0.0474,0.0436
Term_Spread,0.0533,0.0456,0.0514,0.0492,0.0445,0.0473,0.0449,0.0501,0.0483,0.0439,0.0454,0.0448,0.0499,0.0479,0.0441,0.0442,0.0449,0.05,0.0475,0.0437,0.0435,0.0446,0.0495,0.0472,0.0436
Two_Year,0.0539,0.0455,0.0513,0.0507,0.0447,0.0475,0.045,0.0506,0.0498,0.0441,0.0457,0.045,0.0504,0.0495,0.0442,0.0444,0.0451,0.0505,0.0489,0.0438,0.0435,0.0449,0.0503,0.0487,0.0435
TxTfrValAdjUSD,0.054,0.0454,0.0511,0.0533,0.0435,0.0473,0.0448,0.0498,0.0516,0.0433,0.0456,0.0447,0.0501,0.0509,0.0433,0.0444,0.0451,0.0503,0.0503,0.0429,0.0436,0.0448,0.0494,0.0499,0.0429
URTH,0.0545,0.0455,0.051,0.0485,0.0446,0.0485,0.0449,0.0502,0.0477,0.044,0.046,0.0448,0.0501,0.0473,0.0441,0.0446,0.0451,0.0504,0.0468,0.0438,0.0438,0.0448,0.05,0.0465,0.0436
USD_Index,0.0528,0.0456,0.052,0.0484,0.0447,0.0471,0.045,0.0499,0.0476,0.044,0.0453,0.0449,0.0499,0.0473,0.0442,0.0442,0.0451,0.0501,0.0468,0.0439,0.0434,0.0447,0.0499,0.0465,0.0437
US_News_Sentiment,0.054,0.0456,0.0514,0.0659,0.0426,0.0479,0.0451,0.0502,0.067,0.0421,0.0459,0.0453,0.0505,0.068,0.0422,0.0447,0.0454,0.051,0.0679,0.042,0.0438,0.0452,0.0502,0.0676,0.0418
VIX,0.0549,0.0456,0.052,0.0699,0.043,0.049,0.0451,0.0506,0.0691,0.0426,0.0469,0.045,0.0507,0.0694,0.0425,0.0455,0.0452,0.0504,0.0699,0.0423,0.0444,0.045,0.0498,0.0707,0.0423
^GSPC,0.0546,0.0454,0.0509,0.0485,0.0446,0.0484,0.045,0.0498,0.0477,0.044,0.0461,0.0449,0.0504,0.0473,0.0442,0.0447,0.0451,0.0503,0.0468,0.0438,0.0438,0.0448,0.0499,0.0465,0.0436
