feature,Mean R²,Median R²,Std Dev,Min,Max,Positive Share
Term_Spread,0.0493,0.0088,0.0726,-0.0057,0.1796,0.95
TxTfrValAdjUSD,0.0301,0.0248,0.0253,-0.0043,0.0803,0.95
DiffMean,0.0524,0.0087,0.0811,-0.0039,0.2,0.9
^GSPC,0.0515,0.0034,0.0844,-0.0019,0.2029,0.85
Expected_Inflation,0.0472,0.0041,0.0785,-0.0061,0.1886,0.8
USD_Index,0.0511,0.0023,0.0862,-0.0159,0.2045,0.8
URTH,0.0515,0.0051,0.0847,-0.0122,0.203,0.8
HashRate,-0.0471,0.0057,0.1072,-0.2427,0.0434,0.75
Risk_Free,0.0444,0.0056,0.0754,-0.0121,0.1821,0.75
Ten_Year,0.0427,0.0052,0.0717,-0.0087,0.1727,0.7
RevUSD,-0.0544,0.0084,0.1159,-0.2652,0.0209,0.7
BlkCnt,-0.0862,0.0052,0.1972,-0.437,0.0781,0.65
BlkSizeMeanByte,-0.0316,0.0042,0.074,-0.1667,0.0274,0.6
Two_Year,0.0285,0.0022,0.0539,-0.0266,0.1285,0.55
FeeMeanUSD,-0.1653,-0.01,0.3009,-0.6891,0.045,0.4
VIX,-0.1732,-0.0054,0.3449,-0.848,0.0742,0.4
US_News_Sentiment,-0.1397,-0.008,0.2946,-0.6881,0.0925,0.35
OAS,-0.0725,-0.0068,0.176,-0.4129,0.1018,0.3
