feature,ols,rf,xgb,mlp,svr
BlkCnt,0.0716,0.0437,0.0497,0.0716,0.0432
BlkSizeMeanByte,0.0713,0.0435,0.0501,0.0713,0.0438
DiffMean,0.0696,0.0435,0.0498,0.0696,0.0435
Expected_Inflation,0.0727,0.0435,0.0503,0.0727,0.0432
FeeMeanUSD,0.0738,0.0434,0.0504,0.0738,0.0434
HashRate,0.0692,0.0435,0.0493,0.0692,0.043
OAS,0.0759,0.0436,0.0505,0.0759,0.0434
PriceUSD,0.0721,0.0434,0.0499,0.0721,0.0437
RevUSD,0.0723,0.0436,0.0499,0.0723,0.0428
Risk_Free,0.0688,0.0434,0.0497,0.0688,0.0432
Ten_Year,0.0715,0.0437,0.0497,0.0715,0.0434
Term_Spread,0.0709,0.0436,0.0494,0.0709,0.0433
Two_Year,0.0685,0.0434,0.0502,0.0685,0.0435
TxTfrValAdjUSD,0.0723,0.0435,0.0498,0.0723,0.0435
URTH,0.0697,0.0436,0.0498,0.0697,0.0437
USD_Index,0.0686,0.0434,0.0502,0.0686,0.0437
US_News_Sentiment,0.0739,0.0438,0.0507,0.0739,0.0429
VIX,0.0733,0.0437,0.0505,0.0733,0.0452
^GSPC,0.073,0.0434,0.0499,0.073,0.0436
